id,age,education,default,balance,housing,loan,day,month,latestday,duration,campaign,previous,y
66,50,3,0,89,0,0,20,6,200,35,2,0,0
67,50,2,0,642,0,0,18,1,48,435,1,0,0
68,35,0,0,-205,1,0,23,5,173,147,14,0,0
69,39,2,0,720,1,0,18,1,48,47,3,0,0
70,36,2,0,755,0,0,18,6,198,355,1,0,0
71,30,3,1,23,0,0,12,8,252,72,4,0,0
72,43,2,0,-495,1,1,23,5,173,131,1,0,0
73,37,2,0,532,1,0,11,6,191,199,1,0,0
74,53,1,0,200,0,0,17,1,47,182,3,0,0
75,45,0,0,19706,1,0,3,2,63,419,3,0,0
76,30,2,0,397,1,0,28,5,178,536,7,0,0
77,53,3,0,-187,1,0,31,7,241,27,2,0,0
78,45,2,0,-479,1,0,30,7,240,167,2,0,0
79,51,2,0,3025,0,0,7,5,157,476,1,1,1
80,35,1,0,-269,1,0,9,6,189,96,10,0,0
81,53,0,0,2009,0,0,16,6,196,250,1,0,0
82,33,2,0,-253,1,0,12,5,162,89,3,0,0
83,49,2,0,-18,1,0,11,5,161,217,3,4,0
84,36,2,0,0,0,0,4,2,64,137,2,0,0
85,41,3,0,1567,0,0,1,7,211,291,2,0,0
86,36,0,0,-69,1,0,27,5,177,90,2,0,0
87,34,3,0,1273,0,0,11,8,251,93,2,0,0
88,37,2,0,-252,0,0,22,7,232,438,3,0,0
89,47,2,0,0,0,0,19,6,199,141,1,0,0
90,54,3,0,0,1,0,20,8,260,83,5,0,0
91,46,2,0,2401,1,0,14,5,164,218,2,0,0
92,36,3,0,9324,1,0,30,3,120,138,8,0,0
93,47,2,0,1383,1,0,6,6,186,460,8,0,0
94,34,3,0,1798,1,0,13,5,163,196,3,0,0
95,38,3,0,385,1,0,28,10,328,154,1,0,1
96,35,2,0,475,0,1,21,7,231,936,4,0,0
97,38,2,0,593,1,0,17,4,137,182,2,0,0
98,42,2,0,693,1,0,13,5,163,187,2,0,0
99,29,3,0,2753,0,0,30,4,150,645,1,0,1
100,56,2,0,237,1,0,9,7,219,236,4,0,0
101,46,2,0,78,0,0,20,8,260,172,2,0,0
102,34,3,0,0,1,1,3,8,243,108,2,7,0
103,56,1,0,8,1,0,5,5,155,157,2,0,0
104,60,2,0,387,1,0,4,6,184,235,1,0,0
105,25,3,0,127,1,0,18,5,168,695,2,0,0
106,29,3,0,3041,1,0,8,5,158,606,3,0,1
107,37,3,0,-898,1,0,21,5,171,482,1,0,0
108,33,3,0,599,1,0,29,8,269,461,2,0,0
109,35,3,0,358,0,0,29,8,269,92,9,0,0
110,46,2,0,2396,0,0,8,5,158,307,1,0,0
111,35,2,0,448,0,1,20,1,50,1031,6,0,0
112,34,2,0,1137,0,0,29,1,59,383,2,1,0
113,31,3,0,-231,1,0,26,8,266,221,2,0,0
114,39,3,0,54,1,0,3,4,123,204,2,12,0
115,32,1,1,0,0,0,21,1,51,149,1,0,0
116,37,2,0,2610,1,0,13,5,163,53,1,0,0
117,41,2,1,-198,0,1,14,5,164,133,1,0,0
118,39,2,0,-66,0,1,24,7,234,626,5,0,0
119,28,2,0,1238,1,0,28,5,178,252,2,0,0
120,34,1,0,428,1,0,18,5,168,59,2,0,0
121,34,1,0,2929,0,0,14,8,254,518,2,0,1
122,32,2,0,335,1,1,4,7,214,99,1,0,0
123,70,0,0,1236,0,0,12,3,102,58,4,0,0
124,30,3,0,4082,0,0,14,6,194,215,1,17,0
125,52,2,0,1373,0,0,27,10,327,157,1,0,0
126,51,2,0,564,0,1,8,7,218,187,2,0,0
127,41,1,0,620,0,0,28,1,58,314,1,0,0
128,39,1,0,176,1,1,3,4,123,189,2,0,0
129,44,2,0,2541,0,0,27,8,267,138,3,0,0
130,58,2,0,2609,0,0,12,8,252,136,5,0,0
131,34,2,0,134,0,0,8,8,248,104,4,0,0
132,38,2,0,740,0,0,7,8,247,259,3,0,0
133,30,3,0,432,1,1,3,6,183,180,3,0,0
134,48,1,0,1092,0,1,18,1,48,79,1,8,0
135,58,3,0,1798,1,0,5,2,65,19,8,0,0
136,34,2,0,2,1,1,5,5,155,184,1,6,0
137,31,1,0,-212,0,1,20,1,50,911,4,0,0
138,37,1,0,0,0,0,25,5,175,163,1,0,0
139,57,1,0,698,0,0,1,6,181,53,2,0,0
140,28,2,0,2351,0,0,22,10,322,157,1,0,1
141,32,2,0,545,1,0,18,5,168,192,1,1,0
142,32,2,0,-667,1,0,18,5,168,152,7,1,0
143,39,3,0,2357,1,0,20,4,140,64,3,1,0
144,41,3,0,11008,0,0,18,6,198,1540,1,0,1
145,47,2,0,612,0,0,26,8,266,139,4,0,0
146,28,2,1,0,1,0,4,6,184,237,1,0,0
147,26,2,0,0,1,0,13,5,163,204,3,0,0
148,60,2,0,164,0,1,8,7,218,171,1,0,0
149,49,1,0,0,1,0,25,7,235,42,3,0,0
150,32,2,0,8,1,0,16,7,226,226,1,0,0
151,25,2,0,0,1,0,13,5,163,44,9,0,0
152,25,2,0,37,0,0,24,7,234,11,1,0,0
153,57,2,0,2762,0,0,19,1,49,100,1,0,0
154,50,3,0,15442,0,0,5,6,185,91,1,0,0
155,39,1,0,1749,1,0,29,5,179,46,1,0,0
156,34,3,0,1778,0,0,5,2,65,99,1,3,0
157,38,2,0,926,0,1,6,6,186,189,3,0,0
158,30,2,0,572,1,0,5,5,155,237,1,4,0
159,28,3,0,145,1,0,20,4,140,277,1,0,0
160,31,3,0,1308,0,0,22,8,262,323,3,0,0
161,32,2,0,6217,1,1,21,5,171,486,2,0,0
162,28,3,0,159,0,0,16,1,46,449,2,4,1
163,35,2,0,0,0,0,15,7,225,129,2,0,0
164,48,2,0,863,1,0,4,5,154,412,5,2,1
165,30,2,0,-232,0,1,7,8,247,118,2,0,0
166,46,2,0,5127,0,0,6,8,246,472,1,0,0
167,40,2,0,4853,0,0,31,7,241,234,2,0,0
168,37,1,0,-196,1,0,26,5,176,166,2,0,0
169,54,3,0,542,0,0,6,2,66,48,5,0,0
170,26,2,0,1702,1,1,18,5,168,21,1,0,0
171,52,2,0,2257,1,0,14,5,164,203,1,0,0
172,67,3,0,1979,0,0,10,9,280,105,2,0,0
173,33,3,0,2240,0,0,3,6,183,198,1,0,1
174,42,1,0,1687,1,0,18,5,168,14,3,3,0
175,56,2,0,5310,0,0,19,6,199,74,1,0,0
176,35,3,0,0,1,0,16,4,136,563,1,0,0
177,38,2,0,351,1,0,4,2,64,112,1,3,0
178,33,3,0,-103,1,0,28,5,178,268,1,0,0
179,30,3,0,860,1,0,20,4,140,185,1,0,0
180,35,3,0,2646,0,0,14,4,134,133,8,2,1
181,45,1,0,718,1,0,14,5,164,135,1,0,0
182,28,2,0,0,1,0,8,5,158,191,3,0,0
183,58,0,0,5763,0,0,20,1,50,52,1,0,0
184,58,2,0,0,1,0,15,7,225,53,1,0,0
185,27,2,0,217,1,0,8,5,158,319,1,0,0
186,39,2,0,1508,0,0,23,7,233,281,1,0,0
187,40,2,0,100,1,0,11,8,251,221,1,1,1
188,37,2,0,1610,0,0,16,6,196,140,2,0,0
189,58,1,0,260,1,0,15,5,165,71,5,3,0
190,60,2,0,1625,0,0,12,6,192,119,1,0,0
191,48,1,0,3,1,0,3,2,63,69,1,4,0
192,45,2,0,-3,1,0,13,5,163,213,1,0,0
193,38,1,0,3,1,1,5,6,185,124,2,0,0
194,29,3,0,573,1,1,16,6,196,190,4,0,0
195,39,2,0,504,1,0,12,5,162,495,1,0,0
196,43,0,0,1123,1,0,16,4,136,191,2,3,0
197,33,3,0,980,0,0,12,8,252,172,2,0,0
198,32,2,0,0,0,0,20,8,260,92,4,0,0
199,62,2,0,1625,0,0,23,4,143,155,1,0,0
200,49,2,0,-39,1,1,24,7,234,147,3,0,0
201,41,2,0,-365,1,0,28,5,178,226,10,0,0
202,56,3,0,1282,0,0,19,8,259,323,4,0,0
203,39,3,0,610,0,0,20,6,200,241,2,0,0
204,50,3,0,2479,0,0,17,1,47,259,1,0,0
205,47,2,0,955,1,0,13,5,163,47,1,0,0
206,48,2,0,1791,0,0,7,8,247,63,2,0,0
207,42,2,0,1601,0,0,20,6,200,23,2,0,0
208,59,3,0,705,0,0,3,2,63,537,4,0,0
209,45,2,0,2040,0,0,2,2,62,803,1,0,1
210,46,3,0,288,1,0,9,5,159,166,1,0,0
211,36,1,0,235,1,0,29,5,179,141,9,0,0
212,53,2,0,21522,0,0,24,6,204,146,4,0,0
213,49,1,0,0,1,0,6,6,186,286,2,0,0
214,33,2,0,20600,0,0,20,1,50,125,1,0,0
215,27,3,0,522,0,0,15,6,195,79,1,0,0
216,34,2,0,1454,1,0,11,2,71,231,2,2,1
217,55,2,0,0,0,0,16,6,196,73,3,0,0
218,34,3,0,1265,1,0,6,6,186,397,3,0,0
219,30,3,0,655,0,0,23,9,293,272,4,1,1
220,30,3,0,1788,0,0,4,8,244,288,1,2,1
221,57,2,0,703,1,0,15,5,165,405,2,0,0
222,37,3,0,887,0,0,13,8,253,257,5,0,0
223,49,1,0,0,0,0,9,7,219,106,1,0,0
224,42,2,0,3396,1,1,20,1,50,93,4,0,0
225,43,3,0,68,1,0,17,1,47,31,2,0,0
226,40,3,0,502,1,0,3,2,63,267,4,3,0
227,60,2,0,955,0,0,18,8,258,37,3,0,0
228,70,2,0,2064,0,0,22,10,322,334,1,0,0
229,42,2,0,-249,1,0,14,7,224,149,3,0,0
230,27,2,0,102,1,0,29,1,59,123,2,0,0
231,39,2,0,173,1,0,18,1,48,96,2,2,0
232,43,3,0,254,1,1,15,7,225,104,3,0,0
233,53,2,0,31,1,0,16,5,166,90,2,0,0
234,37,2,0,277,0,1,8,7,218,338,2,0,0
235,57,2,0,504,0,0,8,8,248,177,2,0,0
236,43,1,0,140,0,1,9,7,219,52,1,0,0
237,43,2,0,-705,1,0,27,8,267,125,6,0,0
238,49,1,0,418,0,0,18,8,258,1559,7,0,0
239,31,2,0,430,1,0,15,4,135,103,2,0,0
240,28,2,0,0,0,0,18,2,78,209,20,0,1
241,29,2,0,658,0,0,15,7,225,198,2,4,1
242,36,3,0,269,1,0,11,5,161,155,2,0,0
243,35,3,0,22,0,0,11,8,251,109,1,0,0
244,37,3,0,21,1,0,29,5,179,52,2,0,0
245,27,2,0,1820,1,0,17,7,227,1027,1,0,1
246,30,2,0,-189,0,0,19,8,259,105,2,0,0
247,29,3,0,144,1,0,2,6,182,105,3,0,0
248,49,2,0,99,1,0,6,5,156,687,2,1,1
249,47,0,0,77,1,0,9,5,159,83,4,0,0
250,41,3,0,8368,0,0,11,6,191,179,1,0,0
251,48,0,0,54,1,0,16,5,166,293,7,0,0
252,51,1,0,382,0,1,15,7,225,56,3,0,0
253,60,2,0,385,1,0,4,2,64,80,1,0,0
254,57,1,0,5041,1,0,16,4,136,284,1,1,0
255,28,1,0,0,1,1,3,6,183,380,4,0,0
256,61,3,0,32685,0,0,2,3,92,1447,2,0,1
257,36,1,0,1094,1,0,8,4,128,291,1,1,0
258,22,2,0,254,0,0,13,1,43,143,2,0,1
259,35,2,1,-1322,1,0,30,7,240,105,11,0,0
260,34,2,0,1759,0,1,25,7,235,695,1,0,1
261,48,3,0,658,1,0,17,7,227,89,1,0,0
262,33,3,0,8097,0,1,21,8,261,500,2,0,0
263,31,3,0,385,1,0,21,5,171,304,1,0,0
264,26,3,0,2692,0,0,28,5,178,159,2,0,0
265,36,2,0,139,1,0,6,5,156,309,2,0,0
266,39,2,0,1045,1,1,9,7,219,290,13,0,0
267,40,2,0,4126,0,0,4,2,64,671,2,0,0
268,32,3,0,0,0,0,28,8,268,74,2,0,0
269,45,0,0,550,0,1,20,6,200,97,1,0,0
270,40,3,0,1217,1,1,18,1,48,155,1,0,0
271,51,2,0,-20,0,0,1,7,211,58,1,0,0
272,44,3,0,3463,1,1,28,8,268,210,3,0,0
273,34,3,0,-554,1,1,31,7,241,68,3,0,0
274,45,2,0,-1621,1,1,15,5,165,8,2,5,0
275,40,2,0,1232,0,0,28,8,268,175,11,0,0
276,51,3,0,307,1,0,30,5,180,206,2,0,0
277,57,2,0,7162,0,0,17,1,47,83,1,0,0
278,30,2,0,4,0,0,15,4,135,692,1,0,0
279,54,2,0,641,1,0,20,1,50,399,2,0,0
280,28,2,0,0,1,1,26,5,176,89,1,0,0
281,49,1,0,3376,0,0,9,6,189,119,3,0,0
282,39,2,0,3494,1,0,19,1,49,139,1,4,0
283,53,2,0,56,1,1,5,5,155,152,2,0,0
284,35,3,0,1178,1,1,15,4,135,220,2,5,0
285,36,3,0,4596,1,0,16,4,136,901,2,0,1
286,40,2,0,5061,0,1,3,2,63,63,2,0,0
287,40,1,0,669,1,0,26,5,176,161,3,0,0
288,32,2,0,284,0,0,29,8,269,161,2,0,0
289,35,0,0,245,1,0,11,5,161,134,2,1,0
290,35,1,0,-5,0,0,6,6,186,48,5,0,0
291,31,2,0,1599,0,0,30,4,150,226,1,2,0
292,44,3,0,5282,1,0,30,5,180,274,1,0,0
293,34,2,0,951,1,0,21,5,171,343,1,0,0
294,49,3,0,-969,0,0,30,1,60,61,2,1,0
295,73,0,0,3443,0,0,4,9,274,770,3,0,1
296,38,1,0,113,1,0,16,5,166,27,2,0,0
297,56,2,0,0,0,0,15,5,165,103,1,0,0
298,27,3,0,4738,0,0,13,7,223,752,1,0,0
299,48,1,0,0,0,1,17,1,47,479,1,0,0
300,36,2,0,1366,0,1,2,2,62,131,1,0,0
301,36,2,0,0,1,0,30,7,240,184,6,0,0
302,60,3,0,371,0,1,11,8,251,102,8,0,0
303,40,2,0,876,0,0,16,6,196,208,1,0,0
304,57,2,0,204,0,0,6,6,186,97,5,0,0
305,44,3,0,2058,0,1,21,1,51,661,1,0,0
306,50,2,0,736,1,0,14,5,164,74,1,0,0
307,32,3,0,607,1,0,18,6,198,1060,5,0,1
308,44,2,0,227,1,1,8,5,158,364,1,2,0
309,43,2,0,408,1,0,14,9,284,6,1,3,0
310,33,2,0,422,0,0,21,8,261,289,2,0,0
311,43,3,0,2987,0,0,11,3,101,103,3,0,0
312,24,2,0,99,0,0,4,2,64,56,3,0,0
313,36,3,0,1339,1,0,11,7,221,136,1,0,0
314,49,2,0,400,0,0,21,8,261,151,3,0,0
315,34,3,0,2885,0,0,10,2,70,314,2,4,1
316,37,2,0,277,1,0,9,5,159,251,2,0,0
317,30,1,0,1032,1,0,29,5,179,52,5,0,0
318,58,3,0,4265,1,0,29,5,179,96,2,0,0
319,45,3,0,569,1,0,14,5,164,228,1,0,0
320,38,1,0,3242,1,0,17,4,137,198,5,1,0
321,29,2,0,22008,1,0,28,5,178,139,2,0,0
322,36,2,0,-100,1,0,3,6,183,369,2,0,0
323,29,2,0,940,1,1,15,5,165,382,1,0,1
324,25,2,0,1957,0,0,24,6,204,1207,4,1,1
325,49,1,0,216,1,0,9,5,159,144,2,0,0
326,33,2,0,13,1,0,29,1,59,111,1,2,0
327,51,1,0,-637,1,1,19,1,49,233,2,0,0
328,35,1,0,356,1,1,20,5,170,474,2,0,0
329,52,2,0,698,0,0,30,7,240,38,2,0,0
330,42,2,0,419,0,0,6,2,66,198,2,0,0
331,29,2,0,2806,0,0,15,10,315,294,1,5,0
332,43,2,0,284,0,0,28,1,58,256,1,0,0
333,41,2,0,0,1,1,15,7,225,368,4,0,0
334,47,2,0,642,1,0,13,5,163,197,2,2,0
335,44,2,0,244,1,0,12,8,252,1735,4,0,1
336,37,2,0,523,1,0,19,1,49,21,1,0,0
337,50,2,0,321,0,0,22,8,262,90,11,0,0
338,42,2,0,-593,0,0,28,1,58,69,1,0,0
339,26,1,0,70,1,0,28,5,178,99,2,0,0
340,39,2,0,81,0,1,23,7,233,438,1,0,0
341,56,1,0,2666,1,1,29,1,59,94,2,0,0
342,22,1,0,110,1,0,18,5,168,237,2,0,0
343,33,2,0,371,1,0,16,5,166,1128,3,0,0
344,30,2,0,1824,1,0,21,7,231,153,2,0,0
345,49,1,0,3659,1,0,7,5,157,160,1,0,0
346,51,1,0,-27,0,0,29,8,269,158,4,0,0
347,32,3,0,12686,1,0,20,1,50,176,1,1,0
348,25,3,0,12,0,0,12,6,192,126,6,0,1
349,33,2,0,2411,1,0,23,10,323,130,1,1,1
350,45,1,0,7811,0,0,16,6,196,143,2,0,0
351,29,2,0,229,1,0,17,4,137,273,2,1,0
352,28,3,0,730,1,0,26,8,266,78,6,5,0
353,29,2,0,602,1,1,17,4,137,440,2,0,0
354,29,1,0,519,1,0,18,7,228,120,1,0,0
355,36,1,0,3202,1,0,20,1,50,690,3,2,0
356,25,2,0,54,1,0,13,5,163,318,2,0,0
357,31,2,0,389,1,0,7,12,367,69,1,2,0
358,29,2,0,417,0,0,7,10,307,90,1,0,0
359,29,3,0,2799,1,0,5,5,155,371,2,0,0
360,51,1,0,1236,1,0,10,7,220,613,1,0,0
361,35,3,0,71,0,1,26,8,266,78,4,0,0
362,32,3,0,27,1,0,18,1,48,261,1,0,0
363,37,2,0,29,0,0,3,7,213,269,2,0,0
364,45,2,0,1583,1,0,7,8,247,84,7,0,0
365,46,1,0,1844,0,0,19,6,199,29,1,0,0
366,64,1,0,109,0,0,23,6,203,706,1,2,1
367,60,1,0,109,0,0,27,6,207,349,5,0,0
368,48,1,0,-139,0,0,13,5,163,75,2,0,0
369,28,0,0,448,1,0,28,5,178,307,1,0,0
370,30,2,0,1534,1,0,27,5,177,596,1,0,0
371,39,3,0,2193,1,1,2,6,182,550,3,0,0
372,51,2,0,1994,0,0,18,6,198,771,2,0,1
373,50,3,0,1790,0,1,6,2,66,748,3,0,0
374,26,2,0,66,1,0,14,5,164,451,1,3,0
375,36,2,0,483,1,0,11,5,161,179,1,2,0
376,30,2,0,10735,0,0,20,1,50,63,1,0,0
377,59,3,0,1729,0,0,30,4,150,119,1,0,0
378,39,1,0,13338,0,0,11,8,251,103,4,0,0
379,31,2,0,-30,1,1,17,7,227,804,2,0,0
380,47,2,0,726,0,0,17,6,197,60,3,0,0
381,52,3,0,809,0,0,4,8,244,121,1,0,0
382,48,1,0,0,0,0,18,6,198,71,1,0,0
383,47,1,0,823,0,0,19,6,199,191,3,0,0
384,65,3,0,90,1,0,22,4,142,416,1,0,1
385,43,3,0,240,1,0,16,4,136,453,1,0,1
386,32,2,0,3228,1,0,19,1,49,198,3,0,0
387,45,2,0,2718,1,0,24,7,234,304,2,0,0
388,54,1,0,2243,0,0,12,6,192,281,1,0,0
389,33,3,0,1257,1,0,22,7,232,66,1,0,0
390,30,2,0,-44,1,0,17,7,227,97,1,0,0
391,50,0,0,2812,1,0,20,6,200,17,37,0,0
392,36,3,0,133,1,0,9,5,159,117,1,0,0
393,51,1,0,40,1,0,13,5,163,79,1,1,0
394,30,3,0,376,1,0,21,1,51,710,1,0,1
395,40,2,0,824,1,0,17,4,137,359,1,0,0
396,71,3,0,653,0,0,26,2,86,367,1,0,1
397,58,2,0,25,1,0,2,6,182,132,2,0,0
398,26,2,0,614,0,0,27,1,57,103,1,0,0
399,61,2,0,938,0,0,15,7,225,392,2,3,1
400,36,1,0,49,1,0,15,5,165,232,2,5,0
401,30,2,0,-100,1,1,15,5,165,292,1,0,0
402,34,2,0,404,1,0,9,4,129,208,12,1,0
403,49,3,0,53,0,0,12,8,252,134,6,0,0
404,51,2,0,2242,0,0,18,8,258,498,3,0,0
405,51,2,0,-287,1,0,12,5,162,814,1,0,0
406,59,3,0,2143,1,0,28,1,58,59,1,1,0
407,43,1,0,547,0,1,9,6,189,96,6,0,0
408,43,2,0,1807,1,1,30,5,180,711,1,0,0
409,40,2,0,2141,0,0,18,1,48,107,3,0,0
410,34,3,0,3047,0,0,30,4,150,317,1,5,1
411,50,2,0,424,1,0,12,5,162,72,2,0,0
412,32,1,0,142,1,0,12,5,162,101,1,0,0
413,41,2,0,1,0,0,19,8,259,55,4,0,0
414,56,2,0,276,0,0,5,8,245,269,1,0,0
415,36,2,0,664,1,1,30,7,240,266,4,0,0
416,36,2,0,2637,0,0,4,7,214,219,1,0,0
417,34,3,0,184,1,0,30,7,240,87,3,0,0
418,57,2,0,1158,0,0,17,1,47,204,2,21,0
419,50,1,0,4108,1,0,7,8,247,526,2,0,1
420,46,1,0,829,0,1,21,1,51,81,7,0,0
421,60,1,0,-79,1,1,29,1,59,192,1,0,0
422,30,2,0,24,1,0,18,7,228,112,3,0,0
423,31,1,0,-848,1,0,23,5,173,559,3,0,0
424,51,2,0,21,0,1,13,8,253,157,2,0,0
425,44,3,0,1138,0,0,27,8,267,523,3,0,1
426,27,2,0,4923,1,0,19,5,169,57,7,0,0
427,27,2,0,3792,0,0,22,10,322,504,1,2,1
428,54,2,0,529,1,0,5,5,155,1492,1,0,0
429,56,2,0,159,1,0,20,4,140,132,3,0,0
430,44,2,0,1262,1,0,26,5,176,788,11,0,1
431,30,2,0,3927,1,0,11,8,251,247,1,0,0
432,37,2,0,3,1,0,29,5,179,82,1,0,0
433,32,2,0,183,1,0,9,2,69,17,10,0,0
434,44,0,0,1529,1,0,30,4,150,347,1,0,1
435,34,1,0,239,1,0,2,6,182,107,2,0,0
436,32,1,0,3595,1,0,21,1,51,171,2,0,0
437,57,2,0,283,0,0,7,8,247,123,2,0,0
438,26,2,0,3244,0,0,28,1,58,390,1,0,0
439,45,2,0,90,1,0,29,5,179,744,6,0,0
440,32,1,0,131,1,0,21,5,171,212,2,0,0
441,51,2,0,73,0,0,21,7,231,195,1,0,0
442,54,1,0,208,0,0,12,5,162,255,1,0,0
443,48,3,0,1669,1,0,3,6,183,143,1,0,0
444,36,2,0,0,1,0,30,5,180,54,4,0,0
445,36,2,0,556,1,0,18,1,48,154,3,1,0
446,26,3,0,2506,0,0,28,5,178,210,2,1,0
447,34,2,0,0,1,1,12,5,162,34,2,12,0
448,25,3,0,640,1,0,13,5,163,492,2,0,0
449,54,2,0,-291,0,0,19,8,259,99,2,0,0
450,34,0,0,11,1,0,8,4,128,233,1,0,0
451,26,2,0,2063,1,1,10,7,220,221,1,0,0
452,29,2,0,1,1,0,15,7,225,56,3,0,0
453,49,1,0,518,0,0,29,1,59,1917,2,0,1
454,37,2,0,1116,1,0,3,2,63,18,6,7,0
455,41,2,0,923,1,0,7,7,217,141,3,0,0
456,50,3,0,2881,0,0,5,8,245,510,2,5,0
457,36,3,0,10773,1,0,18,5,168,89,1,0,0
458,29,2,0,1012,1,0,23,5,173,926,1,0,0
459,58,2,0,196,0,1,27,5,177,110,3,0,0
460,32,2,0,8859,1,0,20,1,50,252,1,0,0
461,38,0,0,31,0,0,20,4,140,59,3,0,0
462,36,2,0,1825,1,0,14,5,164,24,1,1,0
463,55,2,0,220,1,0,6,5,156,328,2,0,0
464,30,3,0,253,1,0,23,5,173,146,4,0,0
465,56,3,0,16377,0,0,13,8,253,107,8,0,0
466,26,3,0,5,1,0,11,5,161,251,1,2,0
467,31,3,0,86,0,0,12,8,252,150,4,0,0
468,50,1,0,149,1,0,7,5,157,74,1,0,0
469,35,2,0,9,1,0,13,5,163,84,2,2,0
470,41,2,0,563,1,0,13,8,253,69,4,0,0
471,35,2,0,360,1,0,20,4,140,24,1,3,0
472,33,2,0,230,0,1,29,8,269,264,2,0,0
473,42,3,0,100,0,0,7,8,247,64,2,0,0
474,32,3,0,751,1,0,8,5,158,64,1,0,0
475,28,2,0,0,1,0,5,5,155,335,2,8,0
476,55,1,0,419,0,0,22,8,262,33,8,0,0
477,39,1,0,34,1,0,27,5,177,114,1,0,0
478,31,3,0,233,1,0,14,5,164,241,2,10,0
479,35,2,0,4,0,0,9,6,189,130,2,0,0
480,53,1,1,945,0,0,29,1,59,82,2,0,0
481,60,3,0,0,0,0,7,8,247,401,3,0,1
482,32,2,0,1398,1,1,15,5,165,233,1,0,0
483,19,2,0,1803,0,0,10,3,100,59,1,0,0
484,36,2,0,366,0,1,22,8,262,136,6,0,0
485,45,3,0,-459,0,0,21,8,261,508,6,0,0
486,25,2,0,628,0,0,8,7,218,266,1,0,0
487,41,2,0,2152,0,0,30,9,300,134,1,1,0
488,40,2,0,2338,0,0,16,10,316,717,2,0,1
489,32,2,0,127,1,0,5,5,155,195,1,0,0
